ID,Title,Description,Source,Category,Suggested Doc Type,Priority,Frequency,Keywords,Action Required,Status
CODE-0006,Webhook: webhook: webhook,Update webhook documentation for changes in demo-showcase/acme/docs/assets/facets-index.json. Include payload examples and event types.,code,webhook,how-to,high,3572,,Update webhook documentation for changes in demo-showcase/acme/docs/assets/facets-index.json. Include payload examples and event types.,new
CODE-0001,Authentication: authentication: Auth,Update authentication documentation for changes in .github/workflows/deploy.yml. Include security considerations.,code,authentication,how-to,high,2498,,Update authentication documentation for changes in .github/workflows/deploy.yml. Include security considerations.,new
CODE-0963,Database Schema: database_schema: migration,Document database schema change in PRODUCT_STRATEGY.md. Update data model documentation.,code,database_schema,how-to,high,227,,Document database schema change in PRODUCT_STRATEGY.md. Update data model documentation.,new
CODE-1601,Breaking Change: breaking_change:  Change,URGENT: Document breaking change in reports/doc_gaps_report.csv. Update migration guide with before/after examples.,code,breaking_change,how-to,high,49,,URGENT: Document breaking change in reports/doc_gaps_report.csv. Update migration guide with before/after examples.,new
CODE-1304,Api Endpoint: api_endpoint: /webhooks,"Document API endpoint: /webhooks. Include request/response examples, parameters, authentication requirements.",code,api_endpoint,reference,high,40,,"Document API endpoint: /webhooks. Include request/response examples, parameters, authentication requirements.",new
CODE-2318,Removed Function: Function removed: renderEndpointSwitcher,BREAKING: Function renderEndpointSwitcher was removed. Update documentation and add migration guide.,code,removed_function,how-to,high,28,,BREAKING: Function renderEndpointSwitcher was removed. Update documentation and add migration guide.,new
CODE-1049,Signature Change: Function signature changed: Spacer,"UPDATE REQUIRED: Function Spacer signature changed. Old: (1, 4 * mm) → New: (1, 2.4 * mm). Update documentation and examples.",code,signature_change,how-to,high,12,,"UPDATE REQUIRED: Function Spacer signature changed. Old: (1, 4 * mm) → New: (1, 2.4 * mm). Update documentation and examples.",new
CODE-0934,Config Option: config_option: asyncapi,Document configuration option: asyncapi. Include allowed values and when to use.,code,config_option,reference,high,8,,Document configuration option: asyncapi. Include allowed values and when to use.,new
CODE-0933,New Function: New function: if,"Document new function: if. Include parameters, return value, and usage example.",code,new_function,how-to,medium,352,,"Document new function: if. Include parameters, return value, and usage example.",new
CODE-1733,Public Function: public_function: build_local_env_template,"Consider documenting public API: build_local_env_template. Include parameters, return value, and example usage.",code,public_function,reference,medium,115,,"Consider documenting public API: build_local_env_template. Include parameters, return value, and example usage.",new
CODE-1329,Error Handling: error_handling: 401,"Document new error type: 401. Include cause, solution, and error code.",code,error_handling,how-to,medium,79,,"Document new error type: 401. Include cause, solution, and error code.",new
